DATUM;CDU/CSU;SPD;GRUENE;FDP;LINKE;AFD;OTHER
24.09.2017;32.9;20.5;8.9;10.7;9.2;12.6;5
22.09.2013;41.5;25.7;8.4;4.8;8.6;4.7;6.3
